serial,title,original_name,filename,location,type,affiliation,region_bucket,hiring_priority,website
85,International Management Institute (IMI) Kolkata,International Management Institute (IMI) Kolkata,international-management-institute-imi-kolkata.md,"Alipore / Judges Court Road, Kolkata district, West Bengal",PGDM / Management Institute,Information to be updated,Kolkata and outskirts,Medium,https://imik.edu.in
86,IQ City United World School of Business Kolkata,IQ City United World School of Business Kolkata,iq-city-united-world-school-of-business-kolkata.md,"Salt Lake Sector V, Kolkata district, West Bengal",BBA / MBA Business School,Information to be updated,Kolkata and outskirts,High,https://uwsbkolkata.com
87,Jadavpur University,Jadavpur University,jadavpur-university.md,"Jadavpur, Kolkata district, West Bengal",University / Engineering / Arts / Science,Autonomous,Kolkata and outskirts,Medium,https://jadavpuruniversity.in
88,Jogamaya Devi College,Jogamaya Devi College,jogamaya-devi-college.md,"S.P. Mukherjee Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://jogamayadevicollege.ac.in
89,Jogesh Chandra Chaudhuri College,Jogesh Chandra Chaudhuri College,jogesh-chandra-chaudhuri-college.md,"Prince Anwar Shah Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://jogeshchaudhuricollege.org
90,Karmick Institute,Karmick Institute,karmick-institute.md,"Salt Lake Sector V / Santoshpur, Kolkata district, West Bengal",IT + Digital Marketing Training Institute,Information to be updated,Kolkata and outskirts,High,https://www.karmickinstitute.com
91,Khudiram Bose Central College,Khudiram Bose Central College,khudiram-bose-central-college.md,"Bidhan Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.khudirambosecentralcollege.com
92,Kidderpore College,Kidderpore College,kidderpore-college.md,"Kidderpore, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://kidderporecollege.com
93,Kolkata Digital Marketing Institute,Kolkata Digital Marketing Institute (KDMI),kolkata-digital-marketing-institute.md,"Hazra / Salt Lake Sector V, Kolkata district, West Bengal",Digital Marketing Training Institute,Information to be updated,Kolkata and outskirts,Very High,https://kolkatadigitalmarketinginstitute.com
94,Lady Brabourne College,Lady Brabourne College,lady-brabourne-college.md,"Suhrawardy Avenue, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.ladybrabourne.com
95,Loreto College,Loreto College,loreto-college-a.md,"Middleton Row, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.loretocollege.in
96,Maharaja Manindra Chandra College,Maharaja Manindra Chandra College,maharaja-manindra-chandra-college.md,"Ramkanto Bose Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://mmccollege.co.in
97,Maharaja Srischandra College,Maharaja Srischandra College,maharaja-srischandra-college.md,"Ramkanto Bose Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.msccollege.org
98,Maharani Kasiswari College,Maharani Kasiswari College,maharani-kasiswari-college.md,"Ramkanto Bose Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.mkc.ac.in
99,Maulana Azad College,Maulana Azad College,maulana-azad-college.md,"Rafi Ahmed Kidwai Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://maulanaazadcollegekolkata.ac.in
100,Milli Al-Ameen College for Girls,Milli Al-Ameen College for Girls,milli-al-ameen-college-for-girls-a.md,"Beniapukur, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.millialameencollege.edu.in
101,Moople Institute of Animation and Design,Moople Institute of Animation and Design,moople-institute-of-animation-and-design.md,"Topsia / Kolkata campuses, Kolkata district, West Bengal",Digital Marketing + Animation/Design Institute,Information to be updated,Kolkata and outskirts,High,https://www.moople.in
